experiment,param,param_name,actual_corr,model,PEHE,ATE_Bias
feature_correlation,0.7,correlation,0.24140515252037698,T-Learner (Linear),0.2013772647416955,0.050024941407062644
feature_correlation,0.7,correlation,0.24140515252037698,S-Learner (Linear),0.6823674688672391,0.042602095278807935
feature_correlation,0.7,correlation,0.24140515252037698,Naive ATE,0.6811122841535812,0.010174457173272457
feature_correlation,0.9,correlation,0.24476762353555742,T-Learner (Linear),0.23050840131028932,0.07889051684629872
feature_correlation,0.9,correlation,0.24476762353555742,S-Learner (Linear),0.7020241262075068,0.0711768980433972
feature_correlation,0.9,correlation,0.24476762353555742,Naive ATE,0.7099264920896977,0.12737307882143023
feature_correlation,0.9,correlation,0.24146577879326073,T-Learner (Linear),0.2273974306791591,0.053838856904951174
feature_correlation,0.9,correlation,0.24146577879326073,S-Learner (Linear),0.7194833354731304,0.048974213281256576
feature_correlation,0.9,correlation,0.24146577879326073,Naive ATE,0.7309074322627753,0.13772391978135212
feature_correlation,0.9,correlation,0.23385603549179426,T-Learner (Linear),0.24458842707585954,0.013143917015825166
feature_correlation,0.9,correlation,0.23385603549179426,S-Learner (Linear),0.7307750012370479,0.011602793699841133
feature_correlation,0.9,correlation,0.23385603549179426,Naive ATE,0.736339055249456,0.09109185844132943
feature_correlation,0.9,correlation,0.24568009135256083,T-Learner (Linear),0.21737603135292682,0.014894071015496557
feature_correlation,0.9,correlation,0.24568009135256083,S-Learner (Linear),0.7108763978826531,0.017127476773010283
feature_correlation,0.9,correlation,0.24568009135256083,Naive ATE,0.7140557146293699,0.06945258086532204
feature_correlation,0.9,correlation,0.24524651649742837,T-Learner (Linear),0.2700058143560698,0.12653830564589869
feature_correlation,0.9,correlation,0.24524651649742837,S-Learner (Linear),0.7450874413779137,0.12062784127378703
feature_correlation,0.9,correlation,0.24524651649742837,Naive ATE,0.7704181736068211,0.23008681625629487
feature_correlation,0.9,correlation,0.2406032740520495,T-Learner (Linear),0.15750788346003633,0.06197476316047295
feature_correlation,0.9,correlation,0.2406032740520495,S-Learner (Linear),0.7179211336095098,0.06248332880626836
feature_correlation,0.9,correlation,0.2406032740520495,Naive ATE,0.7287277699536338,0.13977687575970718
feature_correlation,0.9,correlation,0.25131324410368183,T-Learner (Linear),0.1675070695485873,0.0609340493556733
feature_correlation,0.9,correlation,0.25131324410368183,S-Learner (Linear),0.7259361321433617,0.062317411323186224
feature_correlation,0.9,correlation,0.25131324410368183,Naive ATE,0.7240354584337494,0.0335788158237984
