dgp,n,model,rep,PEHE,ATE_Bias,status
linear,5000,X-Learner (Linear),1,0.5578851183636461,0.0033964130222641914,success
linear,5000,X-Learner (Linear),2,0.5629827988084216,0.0017359969322568742,success
linear,5000,X-Learner (Linear),3,0.5506047643899777,0.0032244151748576978,success
linear,5000,X-Learner (Linear),4,0.5560074876082783,0.0001677837594473077,success
linear,5000,X-Learner (Linear),5,0.565358669392359,0.0028523639890903124,success
linear,5000,X-Learner (Linear),6,0.5488163711802457,0.0075636114572309975,success
linear,5000,X-Learner (Linear),7,0.5509947582512313,0.0012741419636074858,success
linear,5000,X-Learner (Linear),8,0.5551055774721408,0.004779085562073606,success
linear,5000,X-Learner (Linear),9,0.5654422140893528,0.014084391411313766,success
linear,5000,T-Learner (RF),0,0.2163790757211131,0.012834186026450783,success
linear,5000,T-Learner (RF),1,0.25832918218235046,0.004545017234109999,success
linear,5000,T-Learner (RF),2,0.24020050918524685,0.04752471208311825,success
linear,5000,T-Learner (RF),3,0.21770672286782083,0.018214731903423504,success
linear,5000,T-Learner (RF),4,0.27949059751331407,0.000650360060059375,success
linear,5000,T-Learner (RF),5,0.2676940946966335,0.005290547501792803,success
linear,5000,T-Learner (RF),6,0.20105056844249325,0.0035069105035072084,success
linear,5000,T-Learner (RF),7,0.2305281690915217,0.014407110838639962,success
linear,5000,T-Learner (RF),8,0.23787830837728244,0.07368660988748318,success
linear,5000,T-Learner (RF),9,0.21726438666965286,0.025869524972291107,success
linear,5000,X-Learner (RF),0,0.5694035123043274,0.00024935635414037594,success
linear,5000,X-Learner (RF),1,0.5565809719436682,0.005878938521635386,success
linear,5000,X-Learner (RF),2,0.5559773615050478,0.007147939554935201,success
linear,5000,X-Learner (RF),3,0.5507563298772628,8.849074093097813e-05,success
linear,5000,X-Learner (RF),4,0.572884179062015,0.014202084160000846,success
linear,5000,X-Learner (RF),5,0.5444870024507974,0.010464577736053426,success
linear,5000,X-Learner (RF),6,0.5610218760804738,0.011551375033393808,success
linear,5000,X-Learner (RF),7,0.5481731465273184,0.012071360393200519,success
linear,5000,X-Learner (RF),8,0.5307860954963418,0.013013612152859786,success
linear,5000,X-Learner (RF),9,0.5520810698621362,0.01343251509229645,success
linear,5000,T-Learner (LGBM),0,0.2127822386808323,0.00946860396371048,success
